Country,Waterways Length (km)
World,293412
Russia,102000
Brazil,50000
Vietnam,47130
Kazakhstan,43983
European Union,42000
United States,41009
China,27700
Colombia,24725
Indonesia,21579
"Congo, Democratic Republic of the",15000
India,14500
Burma,12800
Chad,12400
Argentina,11000
Papua New Guinea,11000
Bolivia,10000
Peru,8808
Nigeria,8600
France,8501
Bangladesh,8370
Finland,8000
Germany,7300
Malaysia,7200
Venezuela,7100
Netherlands,6237
Iraq,5279
Croatia,4714
Laos,4600
Sudan,4068
Thailand,4000
Poland,3997
Cambodia,3700
Egypt,3500
Philippines,3219
United Kingdom,3200
Paraguay,3100
Mexico,2900
Central African Republic,2800
Belarus,2500
Italy,2400
"Korea, North",2250
Zambia,2250
Nicaragua,2220
Sweden,2052
Belgium,2043
Australia,2000
Mali,1800
Japan,1770
Romania,1731
Ukraine,1672
Hungary,1622
Gabon,1600
"Korea, South",1600
Uruguay,1600
Tanzania,1594
Norway,1577
Ecuador,1500
Guinea-Bissau,1367
Angola,1300
Guinea,1300
Turkmenistan,1300
Ghana,1293
Switzerland,1292
Afghanistan,1200
Suriname,1200
Turkey (Turkiye),1200
"Congo, Republic of the",1120
Uzbekistan,1100
Mauritania,1086
Senegal,1000
Spain,1000
Bosnia and Herzegovina,990
Guatemala,990
Cote d'Ivoire,980
Ireland,956
Uganda,907
Syria,900
Iran,850
Belize,825
Panama,800
Sierra Leone,800
Costa Rica,730
Slovenia,710
Malawi,700
Burundi,673
Czechia,664
Canada,636
Madagascar,600
Serbia,587
Mongolia,580
Kyrgyzstan,576
Moldova,558
Bulgaria,470
Honduras,465
Mozambique,460
Lithuania,441
El Salvador,422
Denmark,400
"Gambia, The",390
Austria,358
Estonia,335
Guyana,330
Latvia,300
Niger,300
Cuba,240
Zimbabwe,223
Portugal,210
Brunei,209
Fiji,203
Tajikistan,200
Slovakia,172
Sri Lanka,160
Benin,150
Rwanda,90
Togo,50
Albania,41
Luxembourg,37
Liechtenstein,28
Greece,6
Kiribati,5
Afghanistan,0
Cameroon,0
Kenya,0
South Sudan,0
